A,10.1.0.1,csns1,,,,,
A,10.1.0.2,csns2,,,,,
A,10.1.0.3,adsl,,,,,
A,10.1.0.4,IP-0-4,,,,,
A,10.1.0.5,IP-0-5,,,,,
A,10.1.0.6,csduty,csduty1,,,,
A,10.1.0.7,IP-0-7,,,,,
A,10.1.0.8,IP-0-8,,,,,
A,10.1.0.9,IP-0-9,,,,,
A,10.1.0.10,IP-0-10,,,,,
A,10.1.0.11,linux1,,,,,
A,10.1.0.12,linux2,,,,,
A,10.1.0.13,linux3,,,,,
A,10.1.0.14,linux4,,,,,
A,10.1.0.15,IP-0-15,,,,,
A,10.1.0.16,IP-0-16,,,,,
A,10.1.0.17,IP-0-17,,,,,
A,10.1.0.18,IP-0-18,,,,,
A,10.1.0.19,IP-0-19,,,,,
A,10.1.0.20,IP-0-20,,,,,
A,10.1.0.21,IP-0-21,,,,,
A,10.1.0.22,IP-0-22,,,,,
A,10.1.0.23,IP-0-23,,,,,
A,10.1.0.24,IP-0-24,,,,,
A,10.1.0.25,IP-0-25,,,,,
A,10.1.0.26,IP-0-26,,,,,
A,10.1.0.27,linux7,,,,,
A,10.1.0.28,linux8,,,,,
A,10.1.0.29,IP-0-29,,,,,
A,10.1.0.30,IP-0-30,,,,,
A,10.1.0.31,bsd1,,,,,
A,10.1.0.32,bsd2,,,,,
A,10.1.0.33,bsd3,,,,,
A,10.1.0.34,bsd4,,,,,
A,10.1.0.35,IP-0-35,,,,,
A,10.1.0.36,IP-0-36,,,,,
A,10.1.0.37,IP-0-37,,,,,
A,10.1.0.38,IP-0-38,,,,,
A,10.1.0.39,IP-0-39,,,,,
A,10.1.0.40,alumni,alumni1,,,,
A,10.1.0.41,bsd7,,,,,
A,10.1.0.42,IP-0-42,,,,,
A,10.1.0.43,IP-0-43,,,,,
A,10.1.0.44,IP-0-44,,,,,
A,10.1.0.45,IP-0-45,,,,,
A,10.1.0.46,IP-0-46,,,,,
A,10.1.0.47,IP-0-47,,,,,
A,10.1.0.48,IP-0-48,,,,,
A,10.1.0.49,IP-0-49,,,,,
A,10.1.0.50,IP-0-50,,,,,
A,10.1.0.51,IP-0-51,,,,,
A,10.1.0.52,IP-0-52,,,,,
A,10.1.0.53,IP-0-53,,,,,
A,10.1.0.54,IP-0-54,,,,,
A,10.1.0.55,IP-0-55,,,,,
A,10.1.0.56,IP-0-56,,,,,
A,10.1.0.57,IP-0-57,,,,,
A,10.1.0.58,IP-0-58,,,,,
A,10.1.0.59,IP-0-59,,,,,
A,10.1.0.60,IP-0-60,,,,,
A,10.1.0.61,ntserv,ntserv2,,,,
A,10.1.0.62,IP-0-62,,,,,
A,10.1.0.63,IP-0-63,,,,,
A,10.1.0.64,IP-0-64,,,,,
A,10.1.0.65,IP-0-65,,,,,
A,10.1.0.66,IP-0-66,,,,,
A,10.1.0.67,IP-0-67,,,,,
A,10.1.0.68,IP-0-68,,,,,
A,10.1.0.69,IP-0-69,,,,,
A,10.1.0.70,IP-0-70,,,,,
A,10.1.0.71,files1,files,,,,
A,10.1.0.72,IP-0-72,,,,,
A,10.1.0.73,IP-0-73,,,,,
A,10.1.0.74,IP-0-74,,,,,
A,10.1.0.75,IP-0-75,,,,,
A,10.1.0.76,IP-0-76,,,,,
A,10.1.0.77,IP-0-77,,,,,
A,10.1.0.78,IP-0-78,,,,,
A,10.1.0.79,IP-0-79,,,,,
A,10.1.0.80,lxc1,,,,,
A,10.1.0.81,IP-0-81,,,,,
A,10.1.0.82,IP-0-82,,,,,
A,10.1.0.83,IP-0-83,,,,,
A,10.1.0.84,IP-0-84,,,,,
A,10.1.0.85,IP-0-85,,,,,
A,10.1.0.86,linux,centos,,,,
A,10.1.0.87,IP-0-87,,,,,
A,10.1.0.88,pcnat1,,,,,
A,10.1.0.89,IP-0-89,,,,,
A,10.1.0.90,IP-0-90,,,,,
A,10.1.0.91,IP-0-91,,,,,
A,10.1.0.92,IP-0-92,,,,,
A,10.1.0.93,IP-0-93,,,,,
A,10.1.0.94,IP-0-94,,,,,
A,10.1.0.95,IP-0-95,,,,,
A,10.1.0.96,IP-0-96,,,,,
A,10.1.0.97,IP-0-97,,,,,
A,10.1.0.98,IP-0-98,,,,,
A,10.1.0.99,IP-0-99,,,,,
A,10.1.0.100,IP-0-100,,,,,
A,10.1.0.101,csmailgate,csmailgate1,,,,
A,10.1.0.102,IP-0-102,,,,,
A,10.1.0.103,IP-0-103,,,,,
A,10.1.0.104,tcsmailgate2,,,,,
A,10.1.0.105,IP-0-105,,,,,
A,10.1.0.106,csmailer,csmailer1,,,,
A,10.1.0.107,IP-0-107,,,,,
A,10.1.0.108,IP-0-108,,,,,
A,10.1.0.109,IP-0-109,,,,,
A,10.1.0.110,IP-0-110,,,,,
A,10.1.0.111,csmx1,,,,,
A,10.1.0.112,csmx2,,,,,
A,10.1.0.113,csmx3,,,,,
A,10.1.0.114,csmx4,,,,,
A,10.1.0.115,csmx5,,,,,
A,10.1.0.116,IP-0-116,,,,,
A,10.1.0.117,IP-0-117,,,,,
A,10.1.0.118,IP-0-118,,,,,
A,10.1.0.119,IP-0-119,,,,,
A,10.1.0.120,IP-0-120,,,,,
A,10.1.0.121,csmail1,,,,,
A,10.1.0.122,csmail2,,,,,
A,10.1.0.123,csmail3,,,,,
A,10.1.0.124,csmail4,,,,,
A,10.1.0.125,csmail5,,,,,
A,10.1.0.126,IP-0-126,,,,,
A,10.1.0.127,IP-0-127,,,,,
A,10.1.0.128,IP-0-128,,,,,
A,10.1.0.129,IP-0-129,,,,,
A,10.1.0.130,IP-0-130,,,,,
A,10.1.0.131,csmwproxy1,csmwproxy,smtp,pop3,imap,mail
A,10.1.0.132,IP-0-132,,,,,
A,10.1.0.133,IP-0-133,,,,,
A,10.1.0.134,farewell1,farewell,,,,
A,10.1.0.135,IP-0-135,,,,,
A,10.1.0.136,IP-0-136,,,,,
A,10.1.0.137,coredb1,,,,,
A,10.1.0.138,coredb2,coredb,,,,
A,10.1.0.139,IP-0-139,,,,,
A,10.1.0.140,IP-0-140,,,,,
A,10.1.0.141,IP-0-141,,,,,
A,10.1.0.142,IP-0-142,,,,,
A,10.1.0.143,IP-0-143,,,,,
A,10.1.0.144,IP-0-144,,,,,
A,10.1.0.145,IP-0-145,,,,,
A,10.1.0.146,IP-0-146,,,,,
A,10.1.0.147,IP-0-147,,,,,
A,10.1.0.148,IP-0-148,,,,,
A,10.1.0.149,IP-0-149,,,,,
A,10.1.0.150,IP-0-150,,,,,
A,10.1.0.151,csrdr1,,,,,
A,10.1.0.152,csrdr2,,,,,
A,10.1.0.153,csws1,,,,,
A,10.1.0.154,csws2,,,,,
A,10.1.0.155,wwwdb,,,,,
A,10.1.0.156,csstuweb1,,,,,
A,10.1.0.157,csstuweb2,,,,,
A,10.1.0.158,dbhome,,,,,
A,10.1.0.159,help,,,,,
A,10.1.0.160,IP-0-160,,,,,
A,10.1.0.161,csproxy1,,,,,
A,10.1.0.162,csproxy2,,,,,
A,10.1.0.163,IP-0-163,,,,,
A,10.1.0.164,IP-0-164,,,,,
A,10.1.0.165,IP-0-165,,,,,
A,10.1.0.166,IP-0-166,,,,,
A,10.1.0.167,IP-0-167,,,,,
A,10.1.0.168,IP-0-168,,,,,
A,10.1.0.169,IP-0-169,,,,,
A,10.1.0.170,IP-0-170,,,,,
A,10.1.0.171,netmon1,netmon,,,,
A,10.1.0.172,cacti1,cacti,,,,
A,10.1.0.173,prtg1,prtg,,,,
A,10.1.0.174,IP-0-174,,,,,
A,10.1.0.175,radius1,radius,,,,
A,10.1.0.176,IP-0-176,,,,,
A,10.1.0.177,IP-0-177,,,,,
A,10.1.0.178,IP-0-178,,,,,
A,10.1.0.179,IP-0-179,,,,,
A,10.1.0.180,IP-0-180,,,,,
A,10.1.0.181,IP-0-181,,,,,
A,10.1.0.182,IP-0-182,,,,,
A,10.1.0.183,IP-0-183,,,,,
A,10.1.0.184,IP-0-184,,,,,
A,10.1.0.185,IP-0-185,,,,,
A,10.1.0.186,IP-0-186,,,,,
A,10.1.0.187,IP-0-187,,,,,
A,10.1.0.188,IP-0-188,,,,,
A,10.1.0.189,IP-0-189,,,,,
A,10.1.0.190,IP-0-190,,,,,
A,10.1.0.191,IP-0-191,,,,,
A,10.1.0.192,IP-0-192,,,,,
A,10.1.0.193,IP-0-193,,,,,
A,10.1.0.194,IP-0-194,,,,,
A,10.1.0.195,IP-0-195,,,,,
A,10.1.0.196,IP-0-196,,,,,
A,10.1.0.197,IP-0-197,,,,,
A,10.1.0.198,IP-0-198,,,,,
A,10.1.0.199,IP-0-199,,,,,
A,10.1.0.200,IP-0-200,,,,,
A,10.1.0.201,IP-0-201,,,,,
A,10.1.0.202,IP-0-202,,,,,
A,10.1.0.203,IP-0-203,,,,,
A,10.1.0.204,IP-0-204,,,,,
A,10.1.0.205,IP-0-205,,,,,
A,10.1.0.206,IP-0-206,,,,,
A,10.1.0.207,IP-0-207,,,,,
A,10.1.0.208,IP-0-208,,,,,
A,10.1.0.209,IP-0-209,,,,,
A,10.1.0.210,IP-0-210,,,,,
A,10.1.0.211,IP-0-211,,,,,
A,10.1.0.212,IP-0-212,,,,,
A,10.1.0.213,IP-0-213,,,,,
A,10.1.0.214,IP-0-214,,,,,
A,10.1.0.215,IP-0-215,,,,,
A,10.1.0.216,IP-0-216,,,,,
A,10.1.0.217,IP-0-217,,,,,
A,10.1.0.218,IP-0-218,,,,,
A,10.1.0.219,IP-0-219,,,,,
A,10.1.0.220,IP-0-220,,,,,
A,10.1.0.221,IP-0-221,,,,,
A,10.1.0.222,IP-0-222,,,,,
A,10.1.0.223,IP-0-223,,,,,
A,10.1.0.224,IP-0-224,,,,,
A,10.1.0.225,IP-0-225,,,,,
A,10.1.0.226,IP-0-226,,,,,
A,10.1.0.227,IP-0-227,,,,,
A,10.1.0.228,IP-0-228,,,,,
A,10.1.0.229,IP-0-229,,,,,
A,10.1.0.230,IP-0-230,,,,,
A,10.1.0.231,IP-0-231,,,,,
A,10.1.0.232,IP-0-232,,,,,
A,10.1.0.233,IP-0-233,,,,,
A,10.1.0.234,IP-0-234,,,,,
A,10.1.0.235,IP-0-235,,,,,
A,10.1.0.236,IP-0-236,,,,,
A,10.1.0.237,IP-0-237,,,,,
A,10.1.0.238,IP-0-238,,,,,
A,10.1.0.239,IP-0-239,,,,,
A,10.1.0.240,IP-0-240,,,,,
A,10.1.0.241,IP-0-241,,,,,
A,10.1.0.242,IP-0-242,,,,,
A,10.1.0.243,IP-0-243,,,,,
A,10.1.0.244,IP-0-244,,,,,
A,10.1.0.245,IP-0-245,,,,,
A,10.1.0.246,IP-0-246,,,,,
A,10.1.0.247,IP-0-247,,,,,
A,10.1.0.248,IP-0-248,,,,,
A,10.1.0.249,IP-0-249,,,,,
A,10.1.0.250,IP-0-250,,,,,
A,10.1.0.251,IP-0-251,,,,,
A,10.1.0.252,IP-0-252,,,,,
A,10.1.0.253,IP-0-253,,,,,
A,10.1.0.254,IP-0-254,,,,,
