A,10.1.3.1,IP-3-1,,
A,10.1.3.2,IP-3-2,,
A,10.1.3.3,IP-3-3,,
A,10.1.3.4,IP-3-4,,
A,10.1.3.5,IP-3-5,,
A,10.1.3.6,IP-3-6,,
A,10.1.3.7,IP-3-7,,
A,10.1.3.8,IP-3-8,,
A,10.1.3.9,IP-3-9,,
A,10.1.3.10,IP-3-10,,
A,10.1.3.11,builder,,
A,10.1.3.12,bsd8,tbuilder,
A,10.1.3.13,IP-3-13,,
A,10.1.3.14,IP-3-14,,
A,10.1.3.15,IP-3-15,,
A,10.1.3.16,IP-3-16,,
A,10.1.3.17,IP-3-17,,
A,10.1.3.18,IP-3-18,,
A,10.1.3.19,IP-3-19,,
A,10.1.3.20,IP-3-20,,
A,10.1.3.21,IP-3-21,,
A,10.1.3.22,IP-3-22,,
A,10.1.3.23,IP-3-23,,
A,10.1.3.24,IP-3-24,,
A,10.1.3.25,IP-3-25,,
A,10.1.3.26,IP-3-26,,
A,10.1.3.27,IP-3-27,,
A,10.1.3.28,IP-3-28,,
A,10.1.3.29,IP-3-29,,
A,10.1.3.30,IP-3-30,,
A,10.1.3.31,IP-3-31,,
A,10.1.3.32,IP-3-32,,
A,10.1.3.33,IP-3-33,,
A,10.1.3.34,IP-3-34,,
A,10.1.3.35,IP-3-35,,
A,10.1.3.36,IP-3-36,,
A,10.1.3.37,IP-3-37,,
A,10.1.3.38,IP-3-38,,
A,10.1.3.39,IP-3-39,,
A,10.1.3.40,IP-3-40,,
A,10.1.3.41,IP-3-41,,
A,10.1.3.42,IP-3-42,,
A,10.1.3.43,IP-3-43,,
A,10.1.3.44,IP-3-44,,
A,10.1.3.45,IP-3-45,,
A,10.1.3.46,IP-3-46,,
A,10.1.3.47,IP-3-47,,
A,10.1.3.48,IP-3-48,,
A,10.1.3.49,IP-3-49,,
A,10.1.3.50,IP-3-50,,
A,10.1.3.51,IP-3-51,,
A,10.1.3.52,IP-3-52,,
A,10.1.3.53,IP-3-53,,
A,10.1.3.54,IP-3-54,,
A,10.1.3.55,IP-3-55,,
A,10.1.3.56,IP-3-56,,
A,10.1.3.57,IP-3-57,,
A,10.1.3.58,IP-3-58,,
A,10.1.3.59,IP-3-59,,
A,10.1.3.60,IP-3-60,,
A,10.1.3.61,IP-3-61,,
A,10.1.3.62,IP-3-62,,
A,10.1.3.63,IP-3-63,,
A,10.1.3.64,IP-3-64,,
A,10.1.3.65,IP-3-65,,
A,10.1.3.66,IP-3-66,,
A,10.1.3.67,IP-3-67,,
A,10.1.3.68,IP-3-68,,
A,10.1.3.69,IP-3-69,,
A,10.1.3.70,IP-3-70,,
A,10.1.3.71,IP-3-71,,
A,10.1.3.72,IP-3-72,,
A,10.1.3.73,IP-3-73,,
A,10.1.3.74,IP-3-74,,
A,10.1.3.75,IP-3-75,,
A,10.1.3.76,IP-3-76,,
A,10.1.3.77,IP-3-77,,
A,10.1.3.78,IP-3-78,,
A,10.1.3.79,IP-3-79,,
A,10.1.3.80,IP-3-80,,
A,10.1.3.81,IP-3-81,,
A,10.1.3.82,IP-3-82,,
A,10.1.3.83,IP-3-83,,
A,10.1.3.84,IP-3-84,,
A,10.1.3.85,IP-3-85,,
A,10.1.3.86,IP-3-86,,
A,10.1.3.87,IP-3-87,,
A,10.1.3.88,IP-3-88,,
A,10.1.3.89,IP-3-89,,
A,10.1.3.90,IP-3-90,,
A,10.1.3.91,IP-3-91,,
A,10.1.3.92,IP-3-92,,
A,10.1.3.93,IP-3-93,,
A,10.1.3.94,IP-3-94,,
A,10.1.3.95,IP-3-95,,
A,10.1.3.96,IP-3-96,,
A,10.1.3.97,IP-3-97,,
A,10.1.3.98,IP-3-98,,
A,10.1.3.99,IP-3-99,,
A,10.1.3.100,IP-3-100,,
A,10.1.3.101,IP-3-101,,
A,10.1.3.102,IP-3-102,,
A,10.1.3.103,IP-3-103,,
A,10.1.3.104,IP-3-104,,
A,10.1.3.105,IP-3-105,,
A,10.1.3.106,IP-3-106,,
A,10.1.3.107,IP-3-107,,
A,10.1.3.108,IP-3-108,,
A,10.1.3.109,IP-3-109,,
A,10.1.3.110,IP-3-110,,
A,10.1.3.111,IP-3-111,,
A,10.1.3.112,IP-3-112,,
A,10.1.3.113,IP-3-113,,
A,10.1.3.114,IP-3-114,,
A,10.1.3.115,IP-3-115,,
A,10.1.3.116,IP-3-116,,
A,10.1.3.117,IP-3-117,,
A,10.1.3.118,IP-3-118,,
A,10.1.3.119,IP-3-119,,
A,10.1.3.120,IP-3-120,,
A,10.1.3.121,IP-3-121,,
A,10.1.3.122,IP-3-122,,
A,10.1.3.123,IP-3-123,,
A,10.1.3.124,IP-3-124,,
A,10.1.3.125,IP-3-125,,
A,10.1.3.126,IP-3-126,,
A,10.1.3.127,IP-3-127,,
A,10.1.3.128,IP-3-128,,
A,10.1.3.129,IP-3-129,,
A,10.1.3.130,IP-3-130,,
A,10.1.3.131,IP-3-131,,
A,10.1.3.132,IP-3-132,,
A,10.1.3.133,IP-3-133,,
A,10.1.3.134,IP-3-134,,
A,10.1.3.135,IP-3-135,,
A,10.1.3.136,IP-3-136,,
A,10.1.3.137,IP-3-137,,
A,10.1.3.138,IP-3-138,,
A,10.1.3.139,IP-3-139,,
A,10.1.3.140,IP-3-140,,
A,10.1.3.141,IP-3-141,,
