A,10.1.7.1,nrpe1,nrpe
A,10.1.7.2,IP-7-2,
A,10.1.7.3,IP-7-3,
A,10.1.7.4,IP-7-4,
A,10.1.7.5,IP-7-5,
A,10.1.7.6,IP-7-6,
A,10.1.7.7,IP-7-7,
A,10.1.7.8,IP-7-8,
A,10.1.7.9,IP-7-9,
A,10.1.7.10,IP-7-10,
A,10.1.7.11,kvm1,kvm
A,10.1.7.12,IP-7-12,
A,10.1.7.13,IP-7-13,
A,10.1.7.14,IP-7-14,
A,10.1.7.15,IP-7-15,
A,10.1.7.16,IP-7-16,
A,10.1.7.17,IP-7-17,
A,10.1.7.18,IP-7-18,
A,10.1.7.19,IP-7-19,
A,10.1.7.20,IP-7-20,
A,10.1.7.21,IP-7-21,
A,10.1.7.22,IP-7-22,
A,10.1.7.23,IP-7-23,
A,10.1.7.24,IP-7-24,
A,10.1.7.25,IP-7-25,
A,10.1.7.26,IP-7-26,
A,10.1.7.27,IP-7-27,
A,10.1.7.28,IP-7-28,
A,10.1.7.29,IP-7-29,
A,10.1.7.30,IP-7-30,
A,10.1.7.31,IP-7-31,
A,10.1.7.32,IP-7-32,
A,10.1.7.33,IP-7-33,
A,10.1.7.34,IP-7-34,
A,10.1.7.35,IP-7-35,
A,10.1.7.36,IP-7-36,
A,10.1.7.37,IP-7-37,
A,10.1.7.38,IP-7-38,
A,10.1.7.39,IP-7-39,
A,10.1.7.40,IP-7-40,
A,10.1.7.41,IP-7-41,
A,10.1.7.42,IP-7-42,
A,10.1.7.43,IP-7-43,
A,10.1.7.44,IP-7-44,
A,10.1.7.45,IP-7-45,
A,10.1.7.46,IP-7-46,
A,10.1.7.47,IP-7-47,
A,10.1.7.48,IP-7-48,
A,10.1.7.49,IP-7-49,
A,10.1.7.50,IP-7-50,
A,10.1.7.51,IP-7-51,
A,10.1.7.52,IP-7-52,
A,10.1.7.53,IP-7-53,
A,10.1.7.54,IP-7-54,
A,10.1.7.55,IP-7-55,
A,10.1.7.56,IP-7-56,
A,10.1.7.57,IP-7-57,
A,10.1.7.58,IP-7-58,
A,10.1.7.59,IP-7-59,
A,10.1.7.60,IP-7-60,
A,10.1.7.61,IP-7-61,
